datetime,coalition_left,coalition_center,coalition_right,singlecolor_left,singlecolor_center,singlecolor_right,repetition_elections,datetime2
2019-03-13T00:00:00Z,24.3,15.85,23.28,9.11,12.13,8.41,6.92,2019-03-13
2019-03-14T00:00:00Z,23.23,14.86,21.99,6.54,18.01,5.58,9.79,2019-03-14
2019-03-15T00:00:00Z,22.44,15.71,25.28,4.93,13.41,4.6,13.63,2019-03-15
2019-03-16T00:00:00Z,17.59,13.96,39.46,3.78,9.71,2.95,12.55,2019-03-16
2019-03-17T00:00:00Z,19.88,16.05,37.53,3.47,8.99,2.43,11.65,2019-03-17
2019-03-18T00:00:00Z,21.96,16.28,36.2,3.53,8.88,2.25,10.89,2019-03-18
2019-03-19T00:00:00Z,27.05,15.7,29.58,4.97,7.3,1.97,13.43,2019-03-19
2019-03-20T00:00:00Z,29.11,17.77,28.93,5.02,6.81,1.86,10.52,2019-03-20
2019-03-21T00:00:00Z,24.49,19.05,24.38,9.08,5.08,2.65,15.26,2019-03-21
2019-03-22T00:00:00Z,24.81,20.22,24.35,10.35,4.57,3.71,11.99,2019-03-22
2019-03-23T00:00:00Z,24.78,19.5,23.31,9.42,3.9,2.83,16.25,2019-03-23
2019-03-24T00:00:00Z,24.71,19.49,24.3,7.32,5.56,2.61,16,2019-03-24
2019-03-25T00:00:00Z,22.29,18.42,29,7.12,5.41,2.67,15.08,2019-03-25
2019-03-26T00:00:00Z,22.89,17.37,29.72,6.3,6.04,2.73,14.96,2019-03-26
2019-03-27T00:00:00Z,24.64,20.62,24.36,7.32,6.03,2.52,14.51,2019-03-27
2019-03-28T00:00:00Z,25.5,18.59,25.07,6.93,5.6,2.19,16.12,2019-03-28
2019-03-29T00:00:00Z,26.94,17.68,24.81,6.69,5.27,2.06,16.55,2019-03-29
2019-03-30T00:00:00Z,24.55,17.96,23.73,5.59,4.39,1.72,22.06,2019-03-30
2019-03-31T00:00:00Z,23.1,15.96,21.72,5.27,4.2,1.65,28.1,2019-03-31
2019-04-01T00:00:00Z,27.19,17.01,21.83,5.44,3.9,1.53,23.1,2019-04-01
2019-04-02T00:00:00Z,25.85,18.45,25.5,4.97,3.5,1.22,20.51,2019-04-02
2019-04-03T00:00:00Z,22.79,19.67,24.76,4.02,3.56,1.2,24,2019-04-03
2019-04-04T00:00:00Z,23.69,19.51,25.29,5.58,3.24,1.1,21.58,2019-04-04
2019-04-05T00:00:00Z,24.86,18.8,24.9,5.18,3,2.89,20.35,2019-04-05
2019-04-06T00:00:00Z,25.6,17.95,25.12,4.8,2.87,3.02,20.64,2019-04-06
2019-04-07T00:00:00Z,25.87,16.97,26.21,4.78,2.84,3.72,19.6,2019-04-07
2019-04-08T00:00:00Z,26.65,16.28,25.05,4.57,2.69,4.9,19.86,2019-04-08
2019-04-09T00:00:00Z,26.29,15.82,24.2,4.64,2.66,4.84,21.55,2019-04-09
2019-04-10T00:00:00Z,27.82,15.5,22.57,9.72,2.72,5.17,16.5,2019-04-10
2019-04-11T00:00:00Z,29.34,14.61,25.76,9.37,2.07,5.01,13.84,2019-04-11
2019-04-12T00:00:00Z,27.54,15.3,22.61,14.54,1.83,4.58,13.59,2019-04-12
2019-04-13T00:00:00Z,34.08,15.03,19.14,13.86,1.63,4.1,12.15,2019-04-13
2019-04-14T00:00:00Z,36.94,13.45,19.19,14.26,1.45,3.94,10.78,2019-04-14
2019-04-15T00:00:00Z,37.84,13.79,19.29,13.09,1.43,3.88,10.68,2019-04-15
2019-04-16T00:00:00Z,35.73,14.08,20.77,12.71,1.4,3.81,11.5,2019-04-16
2019-04-17T00:00:00Z,33.01,14.68,21.49,12.06,1.33,3.6,13.83,2019-04-17
2019-04-18T00:00:00Z,36.12,14.32,17.68,13.13,1.37,4.4,12.98,2019-04-18
2019-04-19T00:00:00Z,31.89,13.29,20.12,12.83,1.23,4.13,16.51,2019-04-19
2019-04-20T00:00:00Z,33.35,12.81,17.59,13.06,1.21,4.07,17.92,2019-04-20
2019-04-21T00:00:00Z,31.63,14.08,17.56,13.12,1.2,4.02,18.4,2019-04-21
2019-04-22T00:00:00Z,33.46,13.93,15.88,12.85,1.18,3.96,18.74,2019-04-22
2019-04-23T00:00:00Z,33.1,15.12,16.73,12.25,1.12,3.79,17.89,2019-04-23
2019-04-24T00:00:00Z,33.87,13.92,16.8,14.53,1.04,3.49,16.36,2019-04-24
