datetime,up,vox,cs,pp,psoe,datetime2
2019-03-13T00:00:00Z,13.06,10.73,16.5,20.45,26.71,2019-03-13
2019-03-14T00:00:00Z,12.83,11.1,16.14,20.48,26.82,2019-03-14
2019-03-15T00:00:00Z,12.77,11.41,16.11,20.12,26.81,2019-03-15
2019-03-16T00:00:00Z,13.02,11.58,16.28,20.1,27.04,2019-03-16
2019-03-17T00:00:00Z,12.99,11.77,16.27,20.16,27.56,2019-03-17
2019-03-18T00:00:00Z,12.98,11.8,16.16,20.25,27.45,2019-03-18
2019-03-19T00:00:00Z,12.96,11.67,16.14,20.28,27.46,2019-03-19
2019-03-20T00:00:00Z,12.81,11.56,16.18,20.3,27.37,2019-03-20
2019-03-21T00:00:00Z,12.86,11.45,16.47,20.54,27.49,2019-03-21
2019-03-22T00:00:00Z,12.86,11.15,16.57,20.58,27.22,2019-03-22
2019-03-23T00:00:00Z,13.67,11.02,16.48,20.67,27.34,2019-03-23
2019-03-24T00:00:00Z,13.7,11.18,16.39,20.59,27.53,2019-03-24
2019-03-25T00:00:00Z,13.53,10.92,16.36,20.26,27.18,2019-03-25
2019-03-26T00:00:00Z,13.58,11.11,16.12,20.29,27.42,2019-03-26
2019-03-27T00:00:00Z,13.42,11.61,16.14,20.5,28.03,2019-03-27
2019-03-28T00:00:00Z,13.4,11.3,16.12,20.53,28.17,2019-03-28
2019-03-29T00:00:00Z,13.43,11.5,15.95,20.57,28.07,2019-03-29
2019-03-30T00:00:00Z,13.3,11.56,15.84,20.53,28.26,2019-03-30
2019-03-31T00:00:00Z,13.45,11.44,15.9,20.56,28.17,2019-03-31
2019-04-01T00:00:00Z,13.31,11.78,16.02,20.55,28.11,2019-04-01
2019-04-02T00:00:00Z,13.29,11.89,15.89,20.6,28.02,2019-04-02
2019-04-03T00:00:00Z,13.26,12.27,15.82,20.54,28.05,2019-04-03
2019-04-05T00:00:00Z,13.59,11.9,15.7,20.43,27.75,2019-04-05
2019-04-06T00:00:00Z,13.6,11.94,15.71,20.19,27.74,2019-04-06
2019-04-07T00:00:00Z,13.7,12.08,15.74,20.2,27.64,2019-04-07
2019-04-08T00:00:00Z,13.63,11.95,15.83,20.01,27.9,2019-04-08
2019-04-09T00:00:00Z,13.73,11.64,15.61,20.43,27.98,2019-04-09
2019-04-10T00:00:00Z,13.63,11.92,15.48,20.54,28.02,2019-04-10
2019-04-11T00:00:00Z,13.73,12.35,15.56,20.54,27.73,2019-04-11
2019-04-12T00:00:00Z,13.79,12.47,15.59,20.42,27.78,2019-04-12
2019-04-13T00:00:00Z,13.74,12.35,15.61,20.45,27.74,2019-04-13
2019-04-15T00:00:00Z,13.76,12.4,15.58,20.36,28.16,2019-04-15
2019-04-16T00:00:00Z,13.69,12.55,15.48,20.37,28.18,2019-04-16
2019-04-17T00:00:00Z,13.69,12.83,15.43,20.28,28.39,2019-04-17
2019-04-18T22:00:00Z,13.72,12.32,15.4,20.28,28.41,2019-04-18
2019-04-19T00:00:00Z,13.74,12.67,15.44,20.27,28.12,2019-04-19
2019-04-20T00:00:00Z,13.54,12.73,15.46,20.24,28.14,2019-04-20
2019-04-21T00:00:00Z,13.56,12.83,15.44,20.22,28.21,2019-04-21
2019-04-22T00:00:00Z,13.61,12.72,15.41,19.95,28.33,2019-04-22
2019-04-23T00:00:00Z,13.66,13.13,15.34,19.91,28.27,2019-04-23
2019-04-24T00:00:00Z,13.96,13.05,15.25,19.88,28.33,2019-04-24
